id,name,price,image_url,category,is_best_seller,discount_price,discount_type,discount_value
211,Crispy Tempura Lobster,19.50,https://images.unsplash.com/photo-1553621042-f6e147245754?w=400&q=80&hr5,Hot Roll,f,0,none,0
212,Spicy Baked Crawfish,16.00,https://images.unsplash.com/photo-1611143669185-af224c5e3252?w=400&q=80&hr6,Hot Roll,t,0,none,0
213,Inferno Hot Chicken,12.00,https://images.unsplash.com/photo-1562802378-063ec186a863?w=400&q=80&hr7,Hot Roll,f,0,none,0
215,Toasted Scallop Roll,15.50,https://images.unsplash.com/photo-1563612116625-3012372fccce?w=400&q=80&hr9,Hot Roll,t,0,none,0
217,Green Matcha Iced,4.50,https://images.unsplash.com/photo-1515823064-d6e0c04616a7?w=400&q=80&dr1,Drink,t,0,none,0
218,Ramune Soda Melon,4.00,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=400&q=80&dr2,Drink,t,0,none,0
219,Roasted Oolong Tea,3.50,https://images.unsplash.com/photo-1564890369478-c89ca6d9cde9?w=400&q=80&dr3,Drink,f,0,none,0
220,Asahi Dry Beer,6.00,https://images.unsplash.com/photo-1618885472179-5e474019f2a9?w=400&q=80&dr4,Drink,f,0,none,0
221,Iced Calpico Chiller,4.00,https://images.unsplash.com/photo-1551024709-8f23befc6f87?w=400&q=80&dr5,Drink,t,0,none,0
167,California Classic Roll,6.50,https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=400&q=80&roll1,Roll,t,0,none,0
223,Sapporo Draft Bottle,6.50,https://images.unsplash.com/photo-1608270586620-248524c67de9?w=400&q=80&dr7,Drink,f,0,none,0
225,Japanese Plum Wine,9.00,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?w=400&q=80&dr9,Drink,f,0,none,0
228,Traditional Tekka,5.50,https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=400&q=80&mk2,Maki,t,0,none,0
229,Avocado Green Maki,4.50,https://images.unsplash.com/photo-1534422298391-e4f8c172dddb?w=400&q=80&mk3,Maki,f,0,none,0
230,Hamachi Scallion,6.00,https://images.unsplash.com/photo-1553621042-f6e147245754?w=400&q=80&mk4,Maki,f,0,none,0
231,Oshinko Radish Maki,4.00,https://images.unsplash.com/photo-1584269600464-37b1b58a9fe7?w=400&q=80&mk5,Maki,f,0,none,0
235,Salmon Skin Maki,5.00,https://images.unsplash.com/photo-1611143669185-af224c5e3252?w=400&q=80&mk9,Maki,f,0,none,0
237,Miso Ramen Classic,12.50,https://images.unsplash.com/photo-1569718212165-3a8278d5f624?w=400&q=80&rm1,Ramen,t,0,none,0
238,Shoyu Black Ramen,12.00,https://images.unsplash.com/photo-1552611052-33e04de081de?w=400&q=80&rm2,Ramen,f,0,none,0
240,Spicy Garlic Blast,14.00,https://images.unsplash.com/photo-1623341214825-9f4f963727da?w=400&q=80&rm4,Ramen,t,0,none,0
242,Kyoto Shio Style,13.00,https://images.unsplash.com/photo-1600326145359-3a44909d1a39?w=400&q=80&rm6,Ramen,f,0,none,0
246,Tempura Shrimp Ramen,15.50,https://images.unsplash.com/photo-1526318896980-cf78c088247c?w=400&q=80&rm10,Ramen,f,0,none,0
247,Aloha Ahi Bowl,15.50,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=400&q=80&pk1,Poke,t,0,none,0
249,Shrimp Mayo Bowl,13.00,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=400&q=80&pk3,Poke,f,0,none,0
250,Veggie Tofu Bliss,12.00,https://images.unsplash.com/photo-1511690656952-34342bb7c2f2?w=400&q=80&pk4,Poke,f,0,none,0
251,Octopus Garden Poke,14.50,https://images.unsplash.com/photo-1551248429-40975aa4de74?w=400&q=80&pk5,Poke,f,0,none,0
252,Rainbow Protein Poke,17.00,https://images.unsplash.com/photo-1490645935967-10de6ba17061?w=400&q=80&pk6,Poke,t,0,none,0
253,Citrus Yellowtail Bowl,16.50,https://images.unsplash.com/photo-1467003909585-2f8a72700288?w=400&q=80&pk7,Poke,f,0,none,0
254,Teriyaki Chicken Poke,13.50,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=400&q=80&pk8,Poke,t,0,none,0
255,Eel Avocado Poke,16.00,https://images.unsplash.com/photo-1547592166-23ac45744acd?w=400&q=80&pk9,Poke,f,0,none,0
256,Spicy Scallop Bowl,16.50,https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?w=400&q=80&pk10,Poke,f,0,none,0
257,Best Seller Gyoza,7.50,https://images.unsplash.com/photo-1496116218417-1a781b1c416c?w=400&q=80&ms1,Most Sales,t,0,none,0
258,Famous Edamame Bowl,5.00,https://images.unsplash.com/photo-1615485500704-8e990f9900f7?w=400&q=80&ms2,Most Sales,t,0,none,0
260,Top Seaweed Salad,6.50,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=400&q=80&ms4,Most Sales,t,0,none,0
261,Prime Sashimi Mix,35.00,https://images.unsplash.com/photo-1553621042-f6e147245754?w=400&q=80&ms5,Most Sales,t,0,none,0
262,Legendary Dragon Roll,16.00,https://images.unsplash.com/photo-1617196034183-421b4917c92d?w=400&q=80&ms6,Most Sales,t,0,none,0
263,Hot Hit Yakisoba,12.00,https://images.unsplash.com/photo-1534422298391-e4f8c172dddb?w=400&q=80&ms7,Most Sales,t,0,none,0
265,Popular Green Tea,3.50,https://images.unsplash.com/photo-1515823064-d6e0c04616a7?w=400&q=80&ms9,Most Sales,t,0,none,0
266,Massive Sushi Boat,50.00,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=400&q=80&ms10,Most Sales,t,0,none,0
192,Fatty Salmon Belly,6.00,https://images.unsplash.com/photo-1599084993091-1cb5c0721cc6?w=500&q=80&sig=salmon_belly,Sushi,t,0,none,0
207,Volcano Lava Roll,14.50,https://images.unsplash.com/photo-1558985250-27a406d64cb3?w=500&q=80&sig=lava_roll,Hot Roll,t,0,none,0
